Tool	Type	URL	External_Contact_Person	Short_Description	Reference
madeleine	Open-Source	https://github.com/piratical/Madeline_2.0_PDE	https://github.com/piratical/Madeline_2.0_PDE/issues	The Madeline 2.0 Pedigree Drawing Engine (PDE) is a pedigree drawing program designed to handle large and complex pedigrees with an emphasis on readability and aesthetics.	-
manta	Open-Source	https://github.com/Illumina/manta	https://github.com/Illumina/manta/issues	Manta calls structural variants (SVs) and indels from mapped paired-end sequencing reads. 	https://doi.org/10.1093/bioinformatics/btv710
melt	Open-Source	https://melt.igs.umaryland.edu/index.php	-	The Mobile Element Locator Tool (MELT): Perform transposon analysis	https://doi.org/10.1101%2Fgr.218032.116
merge-vcfs	Open-Source	https://github.com/broadinstitute/gatk	https://github.com/broadinstitute/gatk/issues	Combines multiple variant files into a single variant file	https://gatk.broadinstitute.org/hc/en-us/articles/360037226612-MergeVcfs-Picard-
montage	Open-Source	https://github.com/CAG-CNV/MONTAGE	https://github.com/CAG-CNV/MONTAGE/issues	Mosaic CNV Detection Tool	https://doi.org/10.1186/s12864-021-07395-7
multiqc	Open-Source	https://multiqc.info/	https://github.com/ewels/MultiQC/issues	Aggregate results from bioinformatics analyses across many samples into a single report.	-
Nextflow	Open-Soource	https://www.nextflow.io/	https://github.com/nextflow-io/nextflow/issues	-	-
peddy	Open-Source	https://github.com/brentp/peddy	https://github.com/brentp/peddy/issues	"genotype :: ped correspondence check, ancestry check, sex check. directly, quickly on VCF"	https://doi.org/10.1016/j.ajhg.2017.01.017
ped-parser	Open-Source	https://github.com/moonso/ped_parser	https://github.com/moonso/ped_parser/issues	A python tool for parsing pedigree files	-
perl	Open-Soource	https://www.perl.org/	-	-	-
pindel	Open-Source	https://github.com/genome/pindel	kaiye@xjtu.edu.cn	"Pindel can detect breakpoints of large deletions, medium sized insertions, inversions, tandem duplications and other structural variants at single-based resolution from next-gen sequence data. It uses a pattern growth approach to identify the breakpoints of these variants from paired-end short reads."	https://doi.org/10.1093%2Fbioinformatics%2Fbtp394
python	Open-Soource	https://www.python.org/	-	-	-
python3	Open-Soource	https://www.python.org/	-	-	-
R	Open-Source	https://www.r-project.org/	https://www.r-project.org/	R is a free software environment for statistical computing and graphics.	-
rename-sample-in-vcf	Open-Source	https://github.com/broadinstitute/gatk	https://github.com/broadinstitute/gatk/issues	This tool enables the user to rename a sample in either a VCF or BCF file	https://gatk.broadinstitute.org/hc/en-us/articles/360040510011-RenameSampleInVcf-Picard-
reviewer	Open-Source	https://github.com/Illumina/REViewer	https://github.com/Illumina/REViewer/issues	A tool for visualizing alignments of reads in regions containing tandem repeats	-
sambamba	Open-Source	https://github.com/biod/sambamba	https://github.com/biod/sambamba/issues	Tools for working with SAM/BAM data	https://doi.org/10.1093/bioinformatics/btv098
samtools	Open-Source	https://github.com/samtools/samtools	https://github.com/samtools/samtools/issues	Tools (written in C using htslib) for manipulating next-generation sequencing data	https://doi.org/10.1093/bioinformatics/btp352
sentieon	Commercial	https://support.sentieon.com/manual/	-	"Sentieon® develops and supplies a suite of bioinformatics secondary analysis tools that process genomics data with high computing efficiency, fast turnaround time, exceptional accuracy, and 100% consistency."	https://doi.org/10.1101/115717
seqtk	Open-Source	https://github.com/lh3/seqtk	https://github.com/lh3/seqtk/issues	-	-
smn-copy-number-caller	Open-Source	https://github.com/Illumina/SMNCopyNumberCaller	https://github.com/Illumina/SMNCopyNumberCaller/issues	A copy number caller for SMN1 and SMN2 to enable SMA diagnosis and carrier screening with WGS	https://doi.org/10.1186/s13073-022-01085-z
snpEff	Open-Source	https://github.com/pcingola/SnpEff	https://github.com/pcingola/SnpEff/issues	SnpEff is a variant annotation and effect prediction tool. 	https://pcingola.github.io/SnpEff/adds/SnpEff_paper.pdf
SomaticPanelPipeline	Open-Soource	https://github.com/Clinical-Genomics-Lund/SomaticPanelPipeline	https://github.com/Clinical-Genomics-Lund/SomaticPanelPipeline/issues	-	-
stranger	Open-Source	https://github.com/Clinical-Genomics/stranger	https://github.com/Clinical-Genomics/stranger/issues	Tool to annotate outfiles from ExpansionHunter with the pathologic implications of the repeat	https://doi.org/10.5281/zenodo.4548873
svdb	Open-Source	https://github.com/J35P312/SVDB	https://github.com/J35P312/SVDB/issues	"SVDB is a toolkit for constructing and querying structural variant databases. The databases are constructed using the output vcf files from structural variant callers such as TIDDIT, Manta, Fermikit or Delly. SVDB may also be used to merge SV vcf files from multiple callers or individuals."	-
tabix	Open-Soource	https://github.com/samtools/htslib	https://github.com/samtools/htslib/issues	-	-
tiddit	Open-Source	https://github.com/SciLifeLab/TIDDIT	https://github.com/SciLifeLab/TIDDIT/issues	TIDDIT - structural variant calling	10.12688/f1000research.11168.2
upd	Open-Source	https://github.com/bjhall/upd	https://github.com/bjhall/upd/issues	Basic UPD caller	-
vardict	Open-Source	https://github.com/AstraZeneca-NGS/VarDict	https://github.com/AstraZeneca-NGS/VarDict/issues	"VarDict is a variant calling program for SNV, MNV, indels (<50 bp), and complex variants."	https://doi.org/10.1093/nar/gkw227
vcfanno	Open-Source	https://github.com/brentp/vcfanno	https://github.com/brentp/vcfanno/issues	annotate a VCF with other VCFs/BEDs/tabixed files	https://doi.org/10.1186/s13059-016-0973-5
vcffilter	Open-Soource	https://github.com/biopet/vcffilter	https://github.com/biopet/vcffilter/issues	-	-
vcflib	Open-Source	https://github.com/vcflib/vcflib	https://github.com/vcflib/vcflib/issues	C++ library and cmdline tools for parsing and manipulating VCF files with python and zig bindings	https://doi.org/10.1371/journal.pcbi.1009123
vcftools	Open-Source	https://github.com/vcftools/vcftools	https://github.com/vcftools/vcftools/issues	"A set of tools written in Perl and C++ for working with VCF files, such as those generated by the 1000 Genomes Project."	http://dx.doi.org/10.1093/bioinformatics/btr330
vep	Open-Source	https://github.com/Ensembl/ensembl-vep	https://github.com/Ensembl/ensembl-vep/issues	The Ensembl Variant Effect Predictor predicts the functional effects of genomic variants	https://doi.org/10.1186/s13059-016-0974-4
vt	Open-Source	https://genome.sph.umich.edu/wiki/Vt	Adiran (atks@umich.edu)	vt is a variant tool set that discovers short variants from Next Generation Sequencing data.	https://doi.org/10.1093/bioinformatics/btv112
vt-decompose	Open-Soource	https://genome.sph.umich.edu/wiki/Vt	Adiran (atks@umich.edu)	vt is a variant tool set that discovers short variants from Next Generation Sequencing data.	https://doi.org/10.1093/bioinformatics/btv112
vt-normalize	Open-Soource	https://genome.sph.umich.edu/wiki/Vt	Adiran (atks@umich.edu)	vt is a variant tool set that discovers short variants from Next Generation Sequencing data.	https://doi.org/10.1093/bioinformatics/btv112
yaml	Open-Soource	https://yaml.org/	-	-	-
yml	Open-Soource	https://yaml.org/	-	-	-
